method,display_method,mean_mse,sd_mse,n_folds,mse_sd
Oracle,Oracle,29.2365785245653,9.34887703320347,5,29.237 (9.349)
RF-Aug,RF-Aug,29.54579308117157,6.53665809236586,5,29.546 (6.537)
EACS (RF),EACS (RF),34.1788444622044,9.257487083564097,5,34.179 (9.257)
EACS (Best),EACS,34.1788444622044,9.257487083564097,5,34.179 (9.257)
RF-X,RF-X,34.73499379084247,8.572681294320144,5,34.735 (8.573)
EACS (LR),EACS (LR),34.840112388802225,9.924663362302146,5,34.840 (9.925)
"atemp, hum, windspeed (baseline)","Fixed subset (atemp, hum, windspeed)",35.00595193841467,8.651688771473168,5,35.006 (8.652)
"atemp, hum (baseline)","Fixed subset (atemp, hum)",35.00732631457329,8.689042679596554,5,35.007 (8.689)
"temp, atemp, hum (baseline)","Fixed subset (temp, atemp, hum)",35.059506920919674,8.684539543670603,5,35.060 (8.685)
Anchor,Anchor,35.06922733258555,8.652329784260138,5,35.069 (8.652)
"temp, atemp, hum, windspeed (baseline)","Fixed subset (temp, atemp, hum, windspeed)",35.069227332585555,8.652329784260122,5,35.069 (8.652)
Lasso,Lasso,35.086572139989926,8.631450741532127,5,35.087 (8.631)
"temp, hum (baseline)","Fixed subset (temp, hum)",35.21884464606774,8.700675215343121,5,35.219 (8.701)
"temp, hum, windspeed (baseline)","Fixed subset (temp, hum, windspeed)",35.284330623138885,8.645865881015242,5,35.284 (8.646)
EACS (NN),EACS (NN),35.32566019615916,8.44468239580692,5,35.326 (8.445)
EACS (DS),EACS (DS),35.69605818987306,8.849674304791206,5,35.696 (8.850)
"atemp, windspeed (baseline)","Fixed subset (atemp, windspeed)",38.91016090675935,11.092355796677792,5,38.910 (11.092)
"temp, atemp, windspeed (baseline)","Fixed subset (temp, atemp, windspeed)",38.96061872965977,11.088687549781422,5,38.961 (11.089)
"temp, windspeed (baseline)","Fixed subset (temp, windspeed)",39.110025495177375,11.094031965591855,5,39.110 (11.094)
temp (baseline),Fixed subset (temp),39.486399480877836,11.792882782964286,5,39.486 (11.793)
atemp (baseline),Fixed subset (atemp),39.48711502654784,11.704830537315704,5,39.487 (11.705)
"temp, atemp (baseline)","Fixed subset (temp, atemp)",39.49534884340189,11.795617881254877,5,39.495 (11.796)
hum (baseline),Fixed subset (hum),42.468740761499106,9.849892983725876,5,42.469 (9.850)
"hum, windspeed (baseline)","Fixed subset (hum, windspeed)",42.52525568947245,9.859266126691537,5,42.525 (9.859)
windspeed (baseline),Fixed subset (windspeed),47.10886449764092,11.614735708153992,5,47.109 (11.615)
intercept-only (baseline),Fixed subset (intercept-only),47.23971506120325,11.86726335641288,5,47.240 (11.867)
ICP,ICP,47.23971506120325,11.86726335641288,5,47.240 (11.867)
Ridge-Int,Ridge-Int,53.34563329307042,50.152929088017004,5,53.346 (50.153)
