samples_per_env,sigma1_u,sigma1_u_se,sigma1_c,sigma1_c_se,sigma5_u,sigma5_u_se,sigma5_c,sigma5_c_se,sigma10_u,sigma10_u_se,sigma10_c,sigma10_c_se
100,0.970,0.001,0.970,0.001,0.959,0.001,0.963,0.001,0.925,0.001,0.952,0.001
90,0.968,0.001,0.968,0.001,0.957,0.001,0.962,0.001,0.919,0.001,0.949,0.001
80,0.968,0.001,0.968,0.001,0.955,0.001,0.962,0.001,0.915,0.001,0.949,0.001
70,0.968,0.001,0.967,0.001,0.952,0.001,0.961,0.001,0.908,0.001,0.946,0.001
60,0.968,0.001,0.968,0.001,0.948,0.001,0.959,0.001,0.900,0.001,0.944,0.001
50,0.967,0.001,0.966,0.001,0.944,0.001,0.957,0.001,0.894,0.002,0.941,0.001
40,0.968,0.001,0.967,0.001,0.935,0.001,0.953,0.001,0.879,0.002,0.934,0.001
30,0.968,0.001,0.967,0.001,0.924,0.001,0.951,0.001,0.865,0.002,0.925,0.002
20,0.964,0.001,0.964,0.001,0.900,0.001,0.940,0.001,0.848,0.002,0.908,0.002
15,0.959,0.001,0.960,0.001,0.883,0.002,0.932,0.001,0.835,0.002,0.898,0.002
10,0.946,0.001,0.952,0.001,0.859,0.001,0.917,0.002,0.827,0.002,0.878,0.002
5,0.890,0.001,0.913,0.001,0.832,0.001,0.877,0.002,0.812,0.002,0.836,0.003
